,Seattle,Renton,Bellevue,Bothell,Redmond,Lynnwood,Kirkland,Sammamish,Shoreline
2010-01,405000,315000,582499.5,344950,478700,299950,486500,539950,335000
2010-02,399950,309950,534750,344972.5,475000,299000,489500,552500,331475
2010-03,398950,309950,525000,337000,490000,296475,490000,555950,329500
2010-04,395000,309950,525000,329950,489900,289950,469500,550000,325000
2010-05,399250,304900,528350,329999,499900,284970,454000,559884,325000
2010-06,399800,299950,543000,329950,499990,280000,459925,572000,329250
2010-07,398950,295979,544000,329900,489990,274950,469500,559000,324725
2010-08,389800,299400,549250,330000,485000,269974.5,459000,550000,319922
2010-09,385000,289990,529000,325475,475000,265475,442500,550000,312495
2010-10,379950,280000,519000,324900,459895,259950,439000,549000,299950
2010-11,379000,279900,524925,318000,465000,259000,429925,549000,299950
2010-12,374950,274925,509499.5,307000,459000,250000,439000,539950,299500
2011-01,359950,259950,499650,310837,434900,249950,399920,549950,289900
2011-02,355000,259000,499000,313000,445000,250000,393992,559975,287000
2011-03,359000,255000,499000,3E+05,439995,243540,384900,549950,280000
2011-04,359000,249900,502000,299950,437319,231975,399975,550000,274900
2011-05,360000,249950,5E+05,299000,439000,224950,394950,550000,274900
2011-06,365000,249970,499500,299000,439888,224950,379725,549925,274950
2011-07,364999,249950,498400,299000,449950,223950,383900,544500,271975
2011-08,360000,250000,499000,3E+05,457000,219950,377944,530000,269974.5
2011-09,362000,249950,480000,309990,450000,219500,365000,525000,267000
2011-10,349950,249888,449900,309950,443749.5,220000,348750,534975,257500
2011-11,345000,240000,428950,319950,439950,234900,336000,525000,254500
2011-12,335000,250000,409000,309970,425000,229000,335000,534500,254000
2012-01,334950,249950,425000,315000,405000,219950,329000,555000,232000
2012-02,339950,250000,450000,319000,425000,225000,349000,559000,249500
2012-03,350000,275000,499000,319970,450000,234900,365000,572500,250000
2012-04,375000,279950,528942.5,324900,510990,249950,390550,566750,269950
2012-05,395000,280000,575000,320727.5,509995,254950,425000,589950,279975
2012-06,399900,284900,569000,329950,548000,259900,449900,588000,299000
2012-07,399000,289950,579875,335000,548995,259975,459950,589000,299000
2012-08,395000,289950,575000,334925,540000,255000,465600,581370,299900
2012-09,399950,289000,525000,335425,535000,259950,469000,580185,292475
2012-10,399850,279950,535000,339975,535000,265000,450000,575000,299000
2012-11,399000,280000,549950,359000,550000,269450,449997,565000,275000
2012-12,395000,279950,548500,351875,558995,265000,439950,564950,285000
2013-01,388000,289950,563350,359950,552197,275000,435000,561450,275000
2013-02,398400,295950,631995,359000,579200,304925,457302,594950,295000
2013-03,404000,299000,6E+05,369950,599974.5,322000,498000,624500,290000
2013-04,416800,317394,625000,364999.5,599950,299925,499974.5,634970,309900
2013-05,425000,340000,609000,379000,618497.5,319995,525000,635000,342425
2013-06,429000,349950,618000,381950,620950,324950,522120,649950,334900
2013-07,429000,343000,647000,387750,605950,310000,519000,659000,337475
2013-08,425000,339950,625000,375000,599000,309450,509950,672500,339950
2013-09,424950,339925,627000,375000,610470,299995,506975,675000,335000
2013-10,425000,336900,625000,384975,599000,312129,499000,699900,329000
2013-11,425000,325000,625000,389950,560000,319950,554500,734995,319950
2013-12,419000,334975,639999,399828.5,548475,320000,575000,739995,324925
2014-01,410000,350000,656500,409950,565000,325000,579950,789995,315000
2014-02,415000,350000,630000,415000,622490,325000,579900,797950,319150
2014-03,419950,354900,654000,417950,614445,329950,559900,749950,349900
2014-04,429000,359900,675000,434900,649990,324950,554995,719925,349974.5
2014-05,429950,359950,694000,434950,649800,327495,531975,7E+05,349999.5
2014-06,450000,360000,7E+05,439000,649950,339995,555000,699950,349950
2014-07,455000,370000,699000,439450,644500,339950,550000,7E+05,355475
2014-08,448844,369450,689950,439925,622950,339975,549000,699900,359950
2014-09,450000,359950,675000,449950,619970,339950,520000,7E+05,350000
2014-10,450000,357000,649950,456900,630222.5,342475,499950,725000,362400
2014-11,449950,359925,628000,459500,614925,349975,475000,762500,357475
2014-12,450000,349000,624900,449000,599950,335000,459900,779450,364800
2015-01,449000,365000,639900,457400,599500,339950,5E+05,818000,375000
2015-02,450000,359950,652500,449700,598500,329950,569500,839980,375000
2015-03,479000,359000,685000,449925,595000,344950,584450,789900,385000
2015-04,479500,354500,682475,455550,643950,349950,599950,759900,372500
2015-05,480000,350000,7E+05,459950,650000,358950,589450,739975,389950
2015-06,495000,352498.5,728000,461202.5,666447.5,369900,579750,738950,405000
2015-07,499000,365000,720000,469925,649950,369250,568200,735000,399887
2015-08,499500,370000,699950,479992.5,649700,370000,575000,729000,402500
2015-09,5E+05,379950,685000,487950,630000,369950,589950,738000,405000
2015-10,519250,369950,699950,480000,625997.5,354974.5,599000,739900,389975
2015-11,525000,374950,7E+05,479950,644900,350000,634500,750250,389000
2015-12,529970,375000,738000,479990,635000,358000,649000,799925,399900
2016-01,529950,385000,750000,494950,666995,354500,698000,799450,414975
2016-02,539950,389000,750000,499990,668447.5,365000,701500,739900,390000
2016-03,550000,390000,750000,499950,699950,374900,675000,729950,419925
2016-04,565000,396950,795000,499970,699950,379900,639000,785000,429000
2016-05,575000,4E+05,798888,498000,729975,386200,669950,838888,429000
2016-06,575000,4E+05,796375,499250,719500,399450,692000,835000,454975
2016-07,584950,402500,795000,5E+05,699950,399950,677500,849500,440474.5
2016-08,575000,399950,785000,5E+05,7E+05,398000,650000,849500,442950
2016-09,589000,399900,786500,509950,7E+05,395000,699888,850000,450000
2016-10,595000,399998,786500,528475,715000,375000,699444,873995,465000
2016-11,599000,4E+05,795000,550000,735000,392000,699900,925000,490000
2016-12,599000,407950,797000,555000,725000,380000,699450,923995,490000
2017-01,599000,409000,849925,579000,699999,379950,699000,935995,468500
2017-02,599950,414999,908477,592492.5,657475,399950,694500,929000,469642
2017-03,615000,419850,877500,597750,675000,399990,729500,910000,494500
2017-04,625000,423000,898000,564925,7E+05,419950,740000,910000,499950
2017-05,645000,434950,9E+05,574975,725000,425000,750000,899950,5E+05
2017-06,650000,440000,917477.5,594990,715000,419950,750000,885000,525000
2017-07,655000,440000,898000,597750,7E+05,425000,717500,889000,535000
2017-08,649950,439970,899900,585000,725000,425000,699990,879950,560475
2017-09,649000,439000,924925,6E+05,705000,430000,714900,925000,550000
2017-10,679950,450000,939900,625000,742425,450000,8E+05,966990,579769
2017-11,679250,456000,949000,639103,739000,488000,8E+05,1010000,619975
2017-12,688000,459950,9E+05,636750,697950,499950,874800,1078950,599725
2018-01,695000,459950,938000,685495,748250,504950,849999.5,1101497.5,614995
2018-02,699000,469475,949999.5,699000,747500,5E+05,890000,1027995,599000
2018-03,725000,487497.5,957500,679950,775000,519975,872500,1075000,625000
2018-04,719950,514967,995000,675000,834750,520000,887875,1090995,625000
2018-05,735000,5E+05,998650,665000,850000,517757,875000,1098000,625000
2018-06,725000,514983,1002000,665000,850000,499950,875000,1089997.5,625000
2018-07,725000,520000,999995,675000,850000,499950,844500,1097000,624950
2018-08,7E+05,524725,971600,674995,857475,498000,835000,1100000,624950
2018-09,699950,529050.5,928444,669975,829950,498500,785000,1096495,620000
2018-10,699950,529950,928975,674950,839500,494900,795000,1089997.5,623999.5
2018-11,699000,540000,938000,650000,825000,495000,799250,1110995,615000
2018-12,689900,559950,915000,679475,799000,499000,799500,1145000,599975
2019-01,678750,569000,938000,688000,839250,499000,835000,1186495,599950
2019-02,685000,574950,950000,689950,843950,495000,860000,1147497.5,619975
2019-03,699500,579000,998000,685000,867500,499000,840000,1079000,626944